,name,informal_name,class,energy,carbohydrates,fat,protein,cellulose
163,杨桃,五棱子、五敛、羊桃、阳桃、三棱子、风鼓、鬼桃、三??、三稔,蔬果和菌藻,31,7.4,0.2,0.6,1.2
164,莲蓬,莲宝、莲米、藕实、水芝、丹泽芝、莲蓬子、水笠子,坚果、大豆及制品,350,67.2,2,17.2,3
165,木瓜,乳瓜、木梨、文冠果、番木瓜、番木瓜,蔬果和菌藻,30,7.2,0,0.6,0.5
166,芒果,庵罗果、檬果、蜜望子、香盖、抹猛果，望果,蔬果和菌藻,35,8.3,0.2,0.6,1.3
167,橙子,橙子、金球、香橙、黄橙、脐橙、橙,蔬果和菌藻,48,11.1,0.2,0.8,0.6
168,桔子,桔子、柑桔,蔬果和菌藻,51,11.9,0.2,0.7,0.4
169,柠檬,None,饮料,27,5.5,0.2,0.9,0.3
170,哈密瓜,甜瓜,蔬果和菌藻,34,7.9,0.1,0.5,0.2
171,李子,布朗、脆李、金沙李、嘉庆子、李实、嘉应子,蔬果和菌藻,38,8.7,0.2,0.7,0.9
172,番石榴,芭乐、番石榴/芭乐、鸡矢果，番桃,蔬果和菌藻,53,14.2,0.4,1.1,5.9
173,葡萄干,None,蔬果和菌藻,344,83.4,0.4,2.5,1.6
174,红枣,红枣、大枣、枣子,蔬果和菌藻,276,67.8,0.5,3.2,6.2
175,小番茄,西红柿、洋柿子、狼桃、番李子、金橘、番柿、六月柿、洋海椒、毛腊果、西红柿,蔬果和菌藻,15,3.3,0.2,0.9,1
176,黑枣,None,蔬果和菌藻,246,61.4,0.5,3.7,9.2
177,核桃,核桃仁、山核桃、胡桃仁、羌桃、黑桃、胡桃肉、万岁子、长寿果、胡桃,坚果、大豆及制品,646,19.1,58.8,14.9,9.5
178,龙眼干,龙眼肉,蔬果和菌藻,317,73.5,1,4.6,2
179,桂圆干,None,蔬果和菌藻,319,76.2,0.2,5.6,0
180,大樱桃,车厘子、莺桃、含桃、荆桃、朱樱、朱果、樱珠,蔬果和菌藻,46,10.2,0.2,1.1,0.3
181,草莓,大草莓、士多啤梨、红莓、地莓、洋莓，凤阳草莓,蔬果和菌藻,32,7.1,0.2,1,1.1
182,瓜子,向日葵子、天葵子、葵子、瓜子仁、瓜子,坚果、大豆及制品,615,16.7,53.4,19.1,4.5
183,杏仁,None,饮料,46,8.1,1.1,0.9,一
184,栗子,板栗,坚果、大豆及制品,214,46.2,1.5,4.8,1.2
185,腰果,鸡腰果、介寿果,坚果、大豆及制品,559,41.6,36.7,17.3,3.6
186,花生,落花参、番豆、长生果、落地松、地果、番果、地豆、唐人豆、花生（鲜）、落花生，长生果,坚果、大豆及制品,313,13,25.4,12,7.7
187,千葵花籽,None,食用油、油脂及制品,899,0,99.9,0,一
188,牛奶,纯牛奶、牛乳、全脂牛奶,奶类及制品,54,3.4,3.2,3,0
189,皮蛋白,None,蛋类、肉类及制品,138,1.5,9,12.7,0
190,红薯,地瓜、番薯、甘薯、山芋、红薯,谷薯芋、杂豆、主食,86,20.12,0.1,1.57,3
191,鸡蛋黄,蛋黄,蛋类、肉类及制品,328,3.4,28.2,15.2,0
192,荸荠,马蹄、马蹄，地栗,蔬果和菌藻,61,14.2,0.2,1.2,1.1
193,鸭蛋黄,None,蛋类、肉类及制品,378,4,33.8,14.5,0
194,土豆,土豆、洋芋、地蛋、山药蛋、洋番薯、土豆、洋芋,谷薯芋、杂豆、主食,81,17.8,0.2,2.6,1.1
195,鸭蛋白,盐蛋、腌蛋、味蛋,蛋类、肉类及制品,190,6.3,12.7,12.7,一
196,鸡蛋白,鸡蛋白、鸡蛋清、蛋清、蛋白,蛋类、肉类及制品,60,3.1,0.1,11.6,一
197,树薯粉,None,None,None,None,None,None,None
198,皮蛋黄,None,家常菜 ,146.67,8.98,10.59,8,4.16
199,小米,None,零食、点心、冷饮,554,54.6,36.9,6,5.1
200,冬粉,None,家常菜 ,70.15,10.11,1.89,3.49,0.32
201,玉米,玉米（鲜）、苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷、,谷薯芋、杂豆、主食,112,22.8,1.2,4,2.9
202,高粱,蜀黍、高粱、芦粟、桃粟、蜀秫、木稷、芦粟、番黍、荻粱,谷薯芋、杂豆、主食,360,74.7,3.1,10.4,4.3
203,芋头,芋艿、毛芋、芋艿、毛芋,谷薯芋、杂豆、主食,56,12.7,0.2,1.3,1
204,米粉,粉,谷薯芋、杂豆、主食,349,85.8,0.8,0.4,0
205,小麦,白麦,谷薯芋、杂豆、主食,338,75.2,1.3,11.9,10.8
206,淀粉,None,谷薯芋、杂豆、主食,346,85,0.1,1.2,0.1
207,脱脂奶,脱脂奶,奶类及制品,33,4.8,0.2,2.9,0
208,通心粉,意面、通心粉,谷薯芋、杂豆、主食,351,75.8,0.1,11.9,0.4
209,面粉,面粉,谷薯芋、杂豆、主食,362,70.9,2.5,15.7,0
210,糯米,元米、江米、江米,谷薯芋、杂豆、主食,350,78.3,1,7.3,0.8
211,大米,稻米、米、生米,谷薯芋、杂豆、主食,346,77.2,0.9,7.9,0.6
212,面条,面,谷薯芋、杂豆、主食,301,65.6,0.6,8.9,0.8
213,糙米,None,谷薯芋、杂豆、主食,348,75,2.7,7.7,3.4
214,麦片,None,谷薯芋、杂豆、主食,368,67.3,7.4,12.4,8.6
215,薏米,薏苡、薏苡仁、六谷米、苡米、薏仁米、沟子米、苡仁、薏仁、薏仁米，苡米,谷薯芋、杂豆、主食,361,71.1,3.3,12.8,2
216,燕麦,燕麦,谷薯芋、杂豆、主食,338,77.4,0.2,10.1,6
217,大豆,大豆、黄大豆、枝豆、菜用大豆、大豆,坚果、大豆及制品,390,34.2,16,35,15.5
218,豆浆,None,坚果、大豆及制品,31,1.2,1.6,3,0
219,红豆,赤小豆、红小豆、红饭豆、米赤豆、赤豆、朱小豆、小豆，红小豆,谷薯芋、杂豆、主食,324,63.4,0.6,20.2,7.7
220,米糠,None,食用油、油脂及制品,894,1.3,98.7,0,一
221,豆腐,水豆腐,坚果、大豆及制品,84,3.4,5.3,6.6,0
222,熏豆干,豆干,坚果、大豆及制品,154,8.8,6.2,15.8,0.3
223,豆腐干,豆干、白干,坚果、大豆及制品,197,9.6,11.3,14.9,0
224,绿豆,None,零食、点心、冷饮,351,73.4,1,12.8,1.2
225,黄豆,大豆、黄大豆、枝豆、菜用大豆、大豆,坚果、大豆及制品,390,34.2,16,35,15.5
226,黑豆,黑大豆、乌豆、橹豆、马料豆、料豆、零乌豆、冬豆子、黑大豆,坚果、大豆及制品,401,33.6,15.9,36,10.2
227,蜂蜜,石蜜、石饴、食蜜、蜜、白蜜、白沙蜜、蜜糖、蜂糖、百花精、众口芝,调味品,321,75.6,1.9,0.4,0
228,米醋,None,私家菜 ,109.09,4.66,8.9,3.15,0.66
229,糯米醋,元米、江米、江米,谷薯芋、杂豆、主食,350,78.3,1,7.3,0.8
230,果酱,None,调味品,278,69,0.1,0.4,0.3
231,番茄酱,茄汁,调味品,83,16.9,0.2,4.9,2.1
232,粉丝,细粉、线粉、丝粉、古称索粉,谷薯芋、杂豆、主食,338,83.7,0.2,0.8,1.1
233,冬瓜糖,白瓜、水芝、地芝、枕瓜、濮瓜、白冬瓜、东瓜、冬瓜、鲜冬瓜片,蔬果和菌藻,10,2.4,0.2,0.3,0
234,味精,味素、味之素,调味品,268,26.5,0.2,40.1,一
235,酱油,豉油、酱汁、豉汁,调味品,63,10.1,0.1,5.6,0.2
236,枸杞,甘杞、贡杞、枸杞子、红耳坠、苟起子、枸杞红实、西枸杞、狗奶子、血枸子、血杞子,其它,258,64.1,1.5,13.9,16.9
237,味噌,None,谷薯芋、杂豆、主食,363.17,77.56,2.44,6.59,一
238,莲子,莲宝、莲米、藕实、水芝、丹泽芝、莲蓬子、水笠子,坚果、大豆及制品,350,67.2,2,17.2,3
239,黑芝麻,芝麻籽(黑)、胡麻、巨胜,坚果、大豆及制品,559,24,46.1,19.1,14
240,白芝麻,芝麻籽(白),坚果、大豆及制品,536,31.5,39.6,18.4,9.8
241,银耳,白木耳、雪耳、白木耳,蔬果和菌藻,261,67.3,1.4,10,30.4
242,白木,白木耳、雪耳、白木耳,蔬果和菌藻,261,67.3,1.4,10,30.4
243,鸡肉汤,None,家常菜 ,51.5,3.52,1.47,5.92,0.21
244,鸡精,None,调味品,195,33.2,2.8,10.7,0.7
245,肉汁,None,零食、点心、冷饮,342,14.8,23.1,17.5,0.6
246,麦芽,饴糖、糖稀,零食、点心、冷饮,331,82,0.2,0.2,0
247,发芽豆类,None,蔬果和菌藻,131,19.4,0.7,12.4,1.3
248,酵母粉,None,调味品,372,45.5,1.7,47.6,7.9
