,name,class,subclass
131,龙豆(鲜),菜类及制品,鲜豆类
132,毛豆[青豆，菜用大豆](鲜),菜类及制品,鲜豆类
133,四季豆[菜豆],菜类及制品,鲜豆类
134,"豌豆(带荚,鲜)[回回豆]",菜类及制品,鲜豆类
135,豌豆尖,菜类及制品,鲜豆类
136,油豆角[多花菜豆](鲜),菜类及制品,鲜豆类
137,芸豆(鲜),菜类及制品,鲜豆类
138,豇豆,菜类及制品,鲜豆类
139,豇豆(长),菜类及制品,鲜豆类
140,黄豆芽,菜类及制品,鲜豆类
141,绿豆芽,菜类及制品,鲜豆类
142,豌豆苗,菜类及制品,鲜豆类
143,茄子(均值),菜类及制品,茄果、瓜菜类
144,茄子(圆),菜类及制品,茄果、瓜菜类
145,茄子(紫皮，长),菜类及制品,茄果、瓜菜类
146,番茄[西红柿],菜类及制品,茄果、瓜菜类
147,奶柿子[西红柿],菜类及制品,茄果、瓜菜类
148,辣椒(红，尖，干),菜类及制品,茄果、瓜菜类
149,辣椒(红，小),菜类及制品,茄果、瓜菜类
150,辣椒(青，尖),菜类及制品,茄果、瓜菜类
151,甜椒[灯笼椒，柿子椒],菜类及制品,茄果、瓜菜类
152,葫子,菜类及制品,茄果、瓜菜类
153,秋葵[黄秋葵，羊角豆],菜类及制品,茄果、瓜菜类
154,樱桃番茄[小西红柿],菜类及制品,茄果、瓜菜类
155,甜椒[灯笼椒、柿子椒],菜类及制品,茄果、瓜菜类
156,彩椒,菜类及制品,茄果、瓜菜类
157,秋葵[黄秋葵、羊角豆],菜类及制品,茄果、瓜菜类
158,白瓜,菜类及制品,茄果、瓜菜类
159,菜瓜[生瓜，白瓜],菜类及制品,茄果、瓜菜类
160,冬瓜,菜类及制品,茄果、瓜菜类
161,佛手瓜[棒瓜，菜肴梨],菜类及制品,茄果、瓜菜类
162,葫芦[长瓜，蒲瓜，瓠瓜],菜类及制品,茄果、瓜菜类
163,黄瓜[胡瓜](鲜),菜类及制品,茄果、瓜菜类
164,节瓜[毛瓜],菜类及制品,茄果、瓜菜类
165,金瓜,菜类及制品,茄果、瓜菜类
166,苦瓜[凉瓜，癞瓜](鲜),菜类及制品,茄果、瓜菜类
167,南瓜[倭瓜，番瓜](鲜),菜类及制品,茄果、瓜菜类
168,南瓜粉,菜类及制品,茄果、瓜菜类
169,蛇瓜[蛇豆，大豆角],菜类及制品,茄果、瓜菜类
170,丝瓜,菜类及制品,茄果、瓜菜类
171,笋瓜[生瓜],菜类及制品,茄果、瓜菜类
172,西葫芦,菜类及制品,茄果、瓜菜类
173,飞碟瓜,菜类及制品,茄果、瓜菜类
174,黄茎瓜,菜类及制品,茄果、瓜菜类
175,秋黄瓜[旱黄瓜],菜类及制品,茄果、瓜菜类
176,南瓜(栗面),菜类及制品,茄果、瓜菜类
177,大蒜[蒜头](鲜),菜类及制品,葱蒜类
178,青蒜,菜类及制品,葱蒜类
179,蒜黄,菜类及制品,葱蒜类
180,蒜苗,菜类及制品,葱蒜类
181,蒜苔,菜类及制品,葱蒜类
182,大葱,菜类及制品,葱蒜类
183,细香葱[香葱，四季葱],菜类及制品,葱蒜类
184,"葱(小葱,鲜)",菜类及制品,葱蒜类
185,洋葱[葱头](鲜),菜类及制品,葱蒜类
186,韭菜,菜类及制品,葱蒜类
187,韭黄[韭芽],菜类及制品,葱蒜类
188,韭苔,菜类及制品,葱蒜类
189,薤[皎头](鲜),菜类及制品,葱蒜类
190,薤白[小根蒜，山蒜，团蒜](鲜),菜类及制品,葱蒜类
191,大白菜(均值),菜类及制品,嫩茎、叶、花菜类
192,酸白菜[酸菜],菜类及制品,嫩茎、叶、花菜类
193,小白菜,菜类及制品,嫩茎、叶、花菜类
194,白菜薹[菜薹，菜心],菜类及制品,嫩茎、叶、花菜类
195,红菜薹[紫菜薹],菜类及制品,嫩茎、叶、花菜类
196,瓢儿白[瓢儿菜],菜类及制品,嫩茎、叶、花菜类
197,乌菜[乌塌菜，塌棵菜],菜类及制品,嫩茎、叶、花菜类
198,油菜,菜类及制品,嫩茎、叶、花菜类
199,油菜薹[菜薹],菜类及制品,嫩茎、叶、花菜类
200,奶白菜,菜类及制品,嫩茎、叶、花菜类
201,鸡毛菜,菜类及制品,嫩茎、叶、花菜类
202,娃娃菜,菜类及制品,嫩茎、叶、花菜类
203,乌塌菜[塌菜、塌棵菜],菜类及制品,嫩茎、叶、花菜类
204,甘蓝[圆白菜，卷心菜],菜类及制品,嫩茎、叶、花菜类
205,菜花[花椰菜],菜类及制品,嫩茎、叶、花菜类
206,西兰花[绿菜花],菜类及制品,嫩茎、叶、花菜类
207,芥菜[雪里红，雪菜](鲜),菜类及制品,嫩茎、叶、花菜类
208,芥菜(大叶，鲜)[盖菜],菜类及制品,嫩茎、叶、花菜类
209,芥蓝[甘蓝菜，盖蓝菜],菜类及制品,嫩茎、叶、花菜类
210,结球甘蓝(紫),菜类及制品,嫩茎、叶、花菜类
211,抱子甘蓝,菜类及制品,嫩茎、叶、花菜类
212,羽衣甘蓝,菜类及制品,嫩茎、叶、花菜类
213,盖菜,菜类及制品,嫩茎、叶、花菜类
214,菠菜[赤根菜](鲜),菜类及制品,嫩茎、叶、花菜类
215,冬寒菜[冬苋菜，冬葵](鲜),菜类及制品,嫩茎、叶、花菜类
216,观达菜[根达菜，牛皮菜],菜类及制品,嫩茎、叶、花菜类
217,胡萝卜缨(红，鲜),菜类及制品,嫩茎、叶、花菜类
218,苦菜[节节花，拒马菜],菜类及制品,嫩茎、叶、花菜类
219,萝卜缨(小萝卜),菜类及制品,嫩茎、叶、花菜类
220,芹菜(白茎)[旱芹，药芹],菜类及制品,嫩茎、叶、花菜类
221,芹菜茎,菜类及制品,嫩茎、叶、花菜类
222,芹菜叶(鲜),菜类及制品,嫩茎、叶、花菜类
223,生菜(牛俐)[油麦菜],菜类及制品,嫩茎、叶、花菜类
224,生菜(叶用莴苣),菜类及制品,嫩茎、叶、花菜类
225,甜菜叶(鲜),菜类及制品,嫩茎、叶、花菜类
226,香菜[芫荽](鲜),菜类及制品,嫩茎、叶、花菜类
227,苋菜(绿，鲜),菜类及制品,嫩茎、叶、花菜类
228,"苋菜(紫,鲜)[红苋]",菜类及制品,嫩茎、叶、花菜类
229,茼蒿[蓬蒿菜，艾菜](鲜),菜类及制品,嫩茎、叶、花菜类
230,茴香[小茴香](鲜),菜类及制品,嫩茎、叶、花菜类
231,荠菜[蓟菜，菱角菜](鲜),菜类及制品,嫩茎、叶、花菜类
232,莴笋[莴苣](鲜),菜类及制品,嫩茎、叶、花菜类
233,莴笋叶[莴苣叶],菜类及制品,嫩茎、叶、花菜类
234,蕹菜[空心菜，藤藤菜],菜类及制品,嫩茎、叶、花菜类
235,番杏[新西兰菠菜、夏菠菜],菜类及制品,嫩茎、叶、花菜类
236,樱桃萝卜缨,菜类及制品,嫩茎、叶、花菜类
237,白凤菜,菜类及制品,嫩茎、叶、花菜类
238,紫背天葵[红风菜、血皮菜],菜类及制品,嫩茎、叶、花菜类
239,观达菜[根达菜、牛皮菜],菜类及制品,嫩茎、叶、花菜类
240,竹笋(鲜),菜类及制品,嫩茎、叶、花菜类
241,白笋(干),菜类及制品,嫩茎、叶、花菜类
242,春笋(鲜),菜类及制品,嫩茎、叶、花菜类
243,冬笋(鲜),菜类及制品,嫩茎、叶、花菜类
244,黑笋(干),菜类及制品,嫩茎、叶、花菜类
245,毛笋[毛竹笋](鲜),菜类及制品,嫩茎、叶、花菜类
246,玉兰片,菜类及制品,嫩茎、叶、花菜类
247,百合(鲜),菜类及制品,嫩茎、叶、花菜类
248,百合(干),菜类及制品,嫩茎、叶、花菜类
249,金针菜[黄花菜](鲜),菜类及制品,嫩茎、叶、花菜类
250,菊苣,菜类及制品,嫩茎、叶、花菜类
251,芦笋[石刁柏，龙须菜],菜类及制品,嫩茎、叶、花菜类
252,结球菊苣,菜类及制品,嫩茎、叶、花菜类
253,软化白菊苣,菜类及制品,嫩茎、叶、花菜类
254,慈菇[乌芋，白地果](鲜),菜类及制品,水生蔬菜类
255,豆瓣菜[西洋菜，水田芥](鲜),菜类及制品,水生蔬菜类
256,"菱角(老,鲜)[龙角]",菜类及制品,水生蔬菜类
257,藕[莲藕],菜类及制品,水生蔬菜类
258,蒲菜[香蒲，甘蒲，野茭白](鲜),菜类及制品,水生蔬菜类
259,水芹菜,菜类及制品,水生蔬菜类
260,茭白[茭笋，茭粑](鲜),菜类及制品,水生蔬菜类
261,荸荠[马蹄，地栗](鲜),菜类及制品,水生蔬菜类
262,莼菜(瓶装)[花案菜],菜类及制品,水生蔬菜类
263,大薯[参薯](鲜),菜类及制品,薯芋类
264,豆薯[凉薯，地瓜，沙葛](鲜),菜类及制品,薯芋类
265,葛[葛署，粉葛](鲜),菜类及制品,薯芋类
266,山药[薯蓣，大薯](鲜),菜类及制品,薯芋类
267,芋头[芋艿，毛芋],菜类及制品,薯芋类
268,槟榔芋(鲜),菜类及制品,薯芋类
269,姜[黄姜](鲜),菜类及制品,薯芋类
270,姜(干),菜类及制品,薯芋类
271,姜(子姜，鲜)[嫩姜],菜类及制品,薯芋类
272,洋姜[菊芋，鬼子姜](鲜),菜类及制品,薯芋类
273,艾蒿,菜类及制品,野生蔬菜类
274,白花菜,菜类及制品,野生蔬菜类
275,白花桔梗,菜类及制品,野生蔬菜类
276,白沙蒿[沙蒿](鲜),菜类及制品,野生蔬菜类
277,白薯叶[甘薯叶](鲜),菜类及制品,野生蔬菜类
278,百里香(鲜),菜类及制品,野生蔬菜类
279,败酱[胭脂麻](鲜),菜类及制品,野生蔬菜类
280,扁蓄菜[竹节草](鲜),菜类及制品,野生蔬菜类
281,朝鲜蓟(鲜),菜类及制品,野生蔬菜类
282,刺儿菜[小蓟，蓟蓟菜](鲜),菜类及制品,野生蔬菜类
283,刺楸(鲜),菜类及制品,野生蔬菜类
284,达乌里胡枝子[牛枝子，豆豆苗](鲜),菜类及制品,野生蔬菜类
285,大玻璃草叶[大车前](鲜),菜类及制品,野生蔬菜类
286,大巢菜[野苕子，野豌豆](鲜),菜类及制品,野生蔬菜类
287,大蓟叶[飞廉叶](鲜),菜类及制品,野生蔬菜类
288,地肤[益明，扫帚苗](鲜),菜类及制品,野生蔬菜类
289,地笋[地古牛，地瓜儿苗叶](鲜),菜类及制品,野生蔬菜类
290,豆腐柴(鲜),菜类及制品,野生蔬菜类
291,独行菜(鲜),菜类及制品,野生蔬菜类
292,番杏[夏菠菜，新西兰菠菜],菜类及制品,野生蔬菜类
293,槐花[洋槐花，豆槐花](鲜),菜类及制品,野生蔬菜类
294,苦苦菜(鲜),菜类及制品,野生蔬菜类
295,马齿苋[长寿菜，瓜子菜](鲜),菜类及制品,野生蔬菜类
296,马兰头[马兰，鸡儿肠，路边菊](鲜),菜类及制品,野生蔬菜类
297,牛至,菜类及制品,野生蔬菜类
298,牛蒡叶(鲜),菜类及制品,野生蔬菜类
299,球茎茴香,菜类及制品,野生蔬菜类
300,汤菜(鲜),菜类及制品,野生蔬菜类
301,夏枯草[铁色草](鲜),菜类及制品,野生蔬菜类
302,香椿[香椿芽](鲜),菜类及制品,野生蔬菜类
303,榆钱(鲜),菜类及制品,野生蔬菜类
304,苣荬菜(尖叶)[取荬菜，苦麻子],菜类及制品,野生蔬菜类
305,苜蓿[草头，金花菜],菜类及制品,野生蔬菜类
306,荞菜[野荞](鲜),菜类及制品,野生蔬菜类
307,蕨菜[龙头菜，如意菜](鲜),菜类及制品,野生蔬菜类
308,枸杞菜[枸杞，地骨](鲜),菜类及制品,野生蔬菜类
309,酢浆草[酸酸草，酸溜溜](鲜),菜类及制品,野生蔬菜类
310,鱼腥草(叶)[蕺菜、臭菜],菜类及制品,野生蔬菜类
311,鱼腥草(根),菜类及制品,野生蔬菜类
312,草菇[大黑头细花草],藻类,菌类
313,大红菇(干)[草质红菇],藻类,菌类
314,冬菇(干)[毛柄金线菌],藻类,菌类
315,黄蘑(干),藻类,菌类
316,金针菇[智力菇](鲜),藻类,菌类
317,口蘑(白蘑),藻类,菌类
318,蘑菇(鲜蘑),藻类,菌类
319,蘑菇(干),藻类,菌类
320,木耳(干)[黑木耳，云耳],藻类,菌类
321,木耳(水发)[黑木耳，云耳],藻类,菌类
322,平菇[糙皮侧耳，青蘑],藻类,菌类
323,普中红蘑(干),藻类,菌类
324,松蘑(干)[松口蘑，松茸],藻类,菌类
325,香菇[香蕈，冬菇](鲜),藻类,菌类
326,香菇(干)[香蕈，冬菇],藻类,菌类
327,羊肚菌[干狼肚](干),藻类,菌类
328,银耳(干)[白木耳],藻类,菌类
329,珍珠白蘑(干),藻类,菌类
330,榛蘑(干)[假蜜环菌],藻类,菌类
331,榛蘑(水发),藻类,菌类
332,茶树菇(干)[柱状田头菇、油茶菇],藻类,菌类
333,黄伞菇(干)[多脂鳞伞、黄丝菌],藻类,菌类
334,鸡腿菇(干)[毛头鬼伞],藻类,菌类
335,鸡枞(干),藻类,菌类
336,鸡枞(油炸)[油鸡枞],藻类,菌类
337,牛肝菌(白)[美味牛肝菌],藻类,菌类
338,牛肝菌(白、干)[美味牛肝菌],藻类,菌类
339,牛肝菌(黑)[铜色牛肝菌],藻类,菌类
340,牛肝菌（黄皮牛肝菌，鲜)[黄皮疣柄牛肝菌、黄癞头],藻类,菌类
341,乳牛肝菌(干)[粘盖牛肝菌、松树菌],藻类,菌类
342,青头菌[变绿红菇、绿菇],藻类,菌类
343,杏鲍菇,藻类,菌类
344,竹荪(干)[竹笙、竹参],藻类,菌类
345,发菜(干)[仙菜],藻类,藻类
346,海带[江白菜](鲜),藻类,藻类
347,海带(干)[江白菜，昆布],藻类,藻类
348,海带(浸)[江白菜，昆布],藻类,藻类
349,海冻菜[石花菜，冻菜](干),藻类,藻类
350,琼脂[紫菜胶洋粉],藻类,藻类
351,苔菜(干)[苔条，条浒苔],藻类,藻类
352,紫菜(干),藻类,藻类
353,裙带菜(干)[海芥菜、海木耳],藻类,藻类
354,苹果(均值),果类及制品,仁果类
355,苹果（国光苹果）,果类及制品,仁果类
356,苹果（红富士苹果),果类及制品,仁果类
357,红香蕉苹果,果类及制品,仁果类
358,红星苹果,果类及制品,仁果类
359,红玉苹果,果类及制品,仁果类
360,红元帅苹果,果类及制品,仁果类
361,苹果（黄香蕉苹果),果类及制品,仁果类
362,苹果（黄元帅苹果),果类及制品,仁果类
363,金元帅苹果,果类及制品,仁果类
364,青香蕉苹果,果类及制品,仁果类
365,秋里蒙苹果,果类及制品,仁果类
366,香玉苹果,果类及制品,仁果类
367,印度苹果,果类及制品,仁果类
368,祝光苹果,果类及制品,仁果类
369,倭锦苹果,果类及制品,仁果类
370,苹果(罐头),果类及制品,仁果类
371,梨(均值),果类及制品,仁果类
372,长把梨,果类及制品,仁果类
373,冬果梨,果类及制品,仁果类
374,鹅黄梨,果类及制品,仁果类
375,红肖梨,果类及制品,仁果类
376,锦丰梨,果类及制品,仁果类
377,梨(京白梨),果类及制品,仁果类
378,梨(库尔勒梨),果类及制品,仁果类
379,梨(莱阳梨),果类及制品,仁果类
380,马蹄黄梨,果类及制品,仁果类
381,明月梨,果类及制品,仁果类
382,木梨,果类及制品,仁果类
383,梨(苹果梨),果类及制品,仁果类
384,软梨,果类及制品,仁果类
385,苏梅梨,果类及制品,仁果类
386,苏木梨,果类及制品,仁果类
387,酥梨,果类及制品,仁果类
388,酸梨,果类及制品,仁果类
389,梨(香梨),果类及制品,仁果类
390,梨(雪花梨),果类及制品,仁果类
391,雪梨,果类及制品,仁果类
392,梨(鸭梨),果类及制品,仁果类
393,梨(鳄梨),果类及制品,仁果类
394,梨(糖水罐头),果类及制品,仁果类
395,红果[山里红，大山楂],果类及制品,仁果类
396,红果(干),果类及制品,仁果类
397,海棠果[楸子],果类及制品,仁果类
398,沙果,果类及制品,仁果类
399,酸刺,果类及制品,仁果类
400,蛇果,果类及制品,仁果类
401,桃(均值),果类及制品,核果类
402,桃（黄桃）,果类及制品,核果类
403,桃（久保桃）,果类及制品,核果类
404,蜜桃,果类及制品,核果类
405,蒲桃,果类及制品,核果类
406,桃(糖水罐头),果类及制品,核果类
407,李子,果类及制品,核果类
408,李子杏,果类及制品,核果类
409,梅[青梅],果类及制品,核果类
410,杏,果类及制品,核果类
411,杏(罐头),果类及制品,核果类
412,杏干,果类及制品,核果类
413,布朗,果类及制品,核果类
414,西梅,果类及制品,核果类
415,枣(鲜),果类及制品,核果类
416,枣(干),果类及制品,核果类
417,枣（金丝小枣）,果类及制品,核果类
418,黑枣(无核)[乌枣],果类及制品,核果类
419,酒枣,果类及制品,核果类
420,蜜枣,果类及制品,核果类
421,蜜枣(无核),果类及制品,核果类
422,冬枣,果类及制品,核果类
423,酸枣,果类及制品,核果类
424,樱桃,果类及制品,核果类
425,葡萄(均值),果类及制品,浆果类
426,红玫瑰葡萄,果类及制品,浆果类
427,葡萄(巨峰),果类及制品,浆果类
428,葡萄(马奶子),果类及制品,浆果类
429,葡萄(玫瑰香),果类及制品,浆果类
430,葡萄干,果类及制品,浆果类
431,石榴(均值),果类及制品,浆果类
432,柿,果类及制品,浆果类
433,柿饼,果类及制品,浆果类
434,桑葚(均值),果类及制品,浆果类
435,桑葚(白),果类及制品,浆果类
436,桑葚(红),果类及制品,浆果类
437,醋栗[灯笼果],果类及制品,浆果类
438,黑醋栗[黑加仑],果类及制品,浆果类
439,沙棘,果类及制品,浆果类
440,无花果,果类及制品,浆果类
441,中华猕猴桃[毛叶猕猴桃],果类及制品,浆果类
442,草莓[洋莓，凤阳草莓],果类及制品,浆果类
443,红提子葡萄,果类及制品,浆果类
444,无花果(干),果类及制品,浆果类
445,橙,果类及制品,柑橘类
446,柑桔(均值),果类及制品,柑橘类
447,桔(金桔)[金枣],果类及制品,柑橘类
448,芦柑,果类及制品,柑橘类
449,蜜桔,果类及制品,柑橘类
450,小叶桔,果类及制品,柑橘类
451,桔饼,果类及制品,柑橘类
452,柚[文旦],果类及制品,柑橘类
453,柠檬,果类及制品,柑橘类
454,葡萄柚(台湾)[西柚],果类及制品,柑橘类
455,葡萄柚(以色列)[西柚],果类及制品,柑橘类
456,芭蕉[甘蕉，板蕉，牙蕉],果类及制品,热带、亚热带水果
457,菠萝[凤梨，地菠萝],果类及制品,热带、亚热带水果
458,菠萝蜜[木菠萝],果类及制品,热带、亚热带水果
459,刺梨[茨梨，木梨子],果类及制品,热带、亚热带水果
460,番石榴[鸡矢果，番桃],果类及制品,热带、亚热带水果
461,桂圆,果类及制品,热带、亚热带水果
462,桂圆(干),果类及制品,热带、亚热带水果
463,荔枝,果类及制品,热带、亚热带水果
464,芒果[抹猛果，望果],果类及制品,热带、亚热带水果
465,木瓜[番木瓜],果类及制品,热带、亚热带水果
466,人参果,果类及制品,热带、亚热带水果
467,香蕉[甘蕉],果类及制品,热带、亚热带水果
468,杨梅[树梅，山杨梅],果类及制品,热带、亚热带水果
469,杨桃,果类及制品,热带、亚热带水果
470,椰子,果类及制品,热带、亚热带水果
471,枇杷,果类及制品,热带、亚热带水果
472,橄榄(白榄),果类及制品,热带、亚热带水果
473,余柑子[油柑子],果类及制品,热带、亚热带水果
474,红毛丹,果类及制品,热带、亚热带水果
475,火龙果[仙蜜果、红龙果],果类及制品,热带、亚热带水果
476,榴莲,果类及制品,热带、亚热带水果
477,白兰瓜,果类及制品,瓜果类
478,哈蜜瓜,果类及制品,瓜果类
479,甜瓜[香瓜],果类及制品,瓜果类
480,西瓜(均值),果类及制品,瓜果类
481,白果(干)[银杏],果、种子类,树坚果
482,菠萝蜜子,果、种子类,树坚果
483,核桃(鲜),果、种子类,树坚果
484,核桃(干)[胡桃],果、种子类,树坚果
485,山核桃(干),果、种子类,树坚果
486,山核桃(熟)[小核桃],果、种子类,树坚果
487,栗子(鲜)[板栗],果、种子类,树坚果
488,栗子(干),果、种子类,树坚果
489,栗子(熟)[板栗],果、种子类,树坚果
490,松子(生),果、种子类,树坚果
491,松子(炒),果、种子类,树坚果
492,松子仁,果、种子类,树坚果
493,杏仁,果、种子类,树坚果
494,杏仁(大),果、种子类,树坚果
495,杏仁(炒),果、种子类,树坚果
496,橡实[橡子，青冈子],果、种子类,树坚果
497,腰果,果、种子类,树坚果
498,榛子(干),果、种子类,树坚果
499,榛子(炒),果、种子类,树坚果
500,开心果(熟),果、种子类,树坚果
501,胡麻籽,果、种子类,种子
502,花生(鲜)[落花生，长生果],果、种子类,种子
503,花生(炒),果、种子类,种子
504,花生仁(生),果、种子类,种子
505,花生仁(炒),果、种子类,种子
506,葵花子(生),果、种子类,种子
507,葵花子(炒),果、种子类,种子
508,葵花子仁,果、种子类,种子
509,莲子(干),果、种子类,种子
510,南瓜子(炒)[白瓜子],果、种子类,种子
511,南瓜子仁,果、种子类,种子
512,西瓜子(炒),果、种子类,种子
513,西瓜子仁,果、种子类,种子
514,芝麻籽(白),果、种子类,种子
515,芝麻籽(黑),果、种子类,种子
516,芡实米(鲜)[鸡头米],果、种子类,种子
517,花生(烤，勤俭牌),味花生,、种子类
518,花生(烤，密日兴牌),果、种子类,种子
519,花生仁(油炸),果、种子类,种子
520,猪肉(肥瘦)(均值),肉类及制品,猪
521,猪肉(肥),肉类及制品,猪
522,猪肉(后臀尖),肉类及制品,猪
523,猪肉(后肘),肉类及制品,猪
524,猪肉(肋条肉),肉类及制品,猪
525,猪肉(里脊),肉类及制品,猪
526,猪肉(奶脯)[软五花，猪夹心],肉类及制品,猪
527,猪肉(奶面)[硬五花],肉类及制品,猪
528,猪肉(前肘),肉类及制品,猪
529,猪肉(瘦),肉类及制品,猪
530,猪肉(腿),肉类及制品,猪
531,猪大肠,肉类及制品,猪
532,猪大排,肉类及制品,猪
533,猪耳,肉类及制品,猪
534,猪蹄,肉类及制品,猪
535,猪小排,肉类及制品,猪
536,猪肚,肉类及制品,猪
537,猪肺,肉类及制品,猪
538,猪肝,肉类及制品,猪
539,猪脑,肉类及制品,猪
540,猪舌[口条],肉类及制品,猪
541,猪肾[猪腰子],肉类及制品,猪
542,猪小肠,肉类及制品,猪
543,猪心,肉类及制品,猪
